id,chart_type,xPos,yPos,zPos
1,Violin,,,
2,Density,,,
3,Histogram,,,
4,Boxplot,,,
5,Ridgeline,,,
6,Scatter,,,
7,Heatmap,,,
8,Correlogram,,,
9,Bubble,,,
10,Connected scatter,,,
11,Density 2d,,,
12,Barplot,,,
13,Spider / Radar,,,
14,Wordcloud,,,
15,Parallel,,,
16,Lollipop,,,
17,Circular Barplot,,,
18,Treemap,,,
19,Venn diagram,,,
20,Doughnut,,,
21,Pie chart,,,
22,Dendrogram,,,
23,Circular packing,,,
24,Sunburst,,,
25,Line plot,,,
26,Area,,,
27,Stacked area,,,
28,Streamchart,,,
29,Map,,,
30,Choropleth,,,
31,Hexbin map,,,
32,Cartogram,,,
33,Connection,,,
34,Bubble map,,,
35,Chord diagram,,,
36,Network,,,
37,Sankey,,,
38,Arc diagram,,,
39,Edge bundling,,,
40,Complex,,,
41,Scientific Viz,,,